,identifier,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,copyright_status,copyright_holder,copyright_note,issn,lccn,oclcn,depositor
0,3.17E+13,Shooting star review,,Shooting star,"vol. 8, no.3",,"Pittsburgh, PA",Sandra Gould Ford,,1987,9999,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
1,3.17E+13,Shooting star review,,Shooting star,"vol. 7, no. 4",,"Pittsburgh, PA",Sandra Gould Ford,,1987,9999,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
2,3.17E+13,Shooting star review,,Shooting star,"vol. 7, no. 1",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
3,3.17E+13,Shooting star review,,Shooting star,"vol. 7, no. 2",,"Pittsburgh, PA",Sandra Gould Ford,,1987,9999,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
4,3.17E+13,Shooting star review,,Shooting star,"vol. 8, no.2",,"Pittsburgh, PA",Sandra Gould Ford,,1987,9999,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
5,3.17E+13,Shooting star review,,Shooting star,"vol. 7, no. 3",,"Pittsburgh, PA",Sandra Gould Ford,,1987,9999,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
6,3.17E+13,Shooting star review,,Shooting star,"vol. 6, no.3",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
7,3.17E+13,Shooting star review,,Shooting star,vol. 6 no. 2,,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
8,3.17E+13,Shooting star review,,Shooting star,"vol. 8, no. 1",,"Pittsburgh, PA",Sandra Gould Ford,,1987,9999,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
9,3.17E+13,Shooting star review,,Shooting star,"vol. 6, no. 4",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
10,3.17E+13,Shooting star review,,Shooting star,"vol. 6, no.1",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
11,3.17E+13,Shooting star review,,Shooting star,"vol. 5, no. 4",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
12,3.17E+13,Shooting star review,,Shooting star,"vol. 4, no.2",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
13,3.17E+13,Shooting star review,,Shooting star,"vol. 4, no.3",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
14,3.17E+13,Shooting star review,,Shooting star,"vol. 5, no. 2",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
15,3.17E+13,Shooting star review,,Shooting star,"vol. 5, no. 3",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
16,3.17E+13,Shooting star review,,Shooting star,"vol. 3, no. 2",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
17,3.17E+13,Shooting star review,,Shooting star,"vol. 3, no. 4 & vol. 4, no. 1",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,"Issue published as a double issue containing volume 3, number 4 (Winter 1989) and volume 4, number 1 (Spring 1990).",,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
18,3.17E+13,Shooting star review,,Shooting star,"vol. 5, no.1",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
19,3.17E+13,Shooting star review,,Shooting star,"vol. 4, no. 4",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
20,3.17E+13,Shooting star review,,Shooting star,"vol. 1, no.4",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
21,3.17E+13,Shooting star review,,Shooting star,"vol. 3, no. 1",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
22,3.17E+13,Shooting star review,,Shooting star,"vol. 3, no. 3",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
23,3.17E+13,Shooting star review,,Shooting star,"vol. 1, no. 1",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
24,3.17E+13,Shooting star review,,Shooting star,"vol. 1, no. 2",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
25,3.17E+13,Shooting star review,,Shooting star,"vol. 2, no.4",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
26,3.17E+13,Shooting star review,,Shooting star,"vol. 2, no.3",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
27,3.17E+13,Shooting star review,,Shooting star,"vol. 2, no.1",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
28,3.17E+13,Shooting star review,,Shooting star,"vol. 2, no. 2",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
29,3.17E+13,Shooting star review,,Shooting star,"vol. 1, no. 3",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
30,3.17E+13,Shooting star review,,Shooting star,"vol. 8, no.4",,"Pittsburgh, PA",Sandra Gould Ford,,1987,9999,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,0892-1407,sn 87000149,,University of Pittsburgh
