,id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclcn
0,9040515,Ann Arbor argus,Ann Arbor argus (1969),,,,"Ann Arbor, Mich","Ken Kelley, David Baker",1969-,1969,1971,,serial,Biweekly,eng,text,electronic|||electronic resource|||remote|||unmediated|||volume,,Newspapers|||Student protest literature-Newspapers|||newspaper|||text,,Subculture|||Underground press publications|||Counter culture|||In popular culture,,United States Michigan Washtenaw Ann Arbor,,,,,,
1,520164,Berkeley barb,,,,,"Berkeley, Calif",International News Keyus],,1965,1980,,serial,"Biweekly, <,Apr. 10-23, 1980->|||Weekly, 1980-|||Biweekly, 1978-|||Weekly, 1965-1978|||Bimonthly",eng,text,print,,periodical,,,,,,,,0005-9161,sn 78001858,
2,8826051,Berkeley barb,,,,"Scherr, Max. (Editor)","Berkeley, CA :|||Berkeley, California :","Max Scherr,|||International News Keyus",1965-1980.,1965,1980,,serial,"Biweekly, Oct. 12, 1978-July 3, 1980|||Weekly, Aug. 13, 1965-Sept. 29, 1978|||Biweekly",eng,text,electronic|||electronic resource|||remote|||computer|||online resource,,Electronic journals|||Newspapers|||periodical|||text,,"Underground press publications|||Student movements|||Counterculture|||Political activists|||Politics and governmentUniversity of California, Berkeley|||University of California, Berkeley.",,,,,,0005-9161,,
3,520166,Berkeley tribe,,,,,"Berkeley, California",,,1969,1972,,serial,Weekly,eng,text,print,,newspaper,,,,,,,,0005-9188,,
4,8826053,Berkeley tribe,,,,,"[Berkeley, CA] :","[Red Mountain Tribe],",[1969-1972].,1969,1972,,serial,"Biweekly, Feb. 3, 1972-|||Weekly, July 10, 1969-Jan. 28, 1972|||Biweekly",eng,text,electronic|||electronic resource|||remote|||computer|||online resource,,Newspapers|||newspaper|||text,,"Underground press publications|||Student movements|||Vietnam War, 1961-1975|||Protest movements|||Counterculture|||Political activists|||Politics and governmentVietnam War (1961-1975)",1961-1975,,,Barb on strike,,0005-9188,,
5,541008,Bilalian news,,,,,Chicago,"Bilalian News, inc.",,1975,1981,,serial,Weekly,eng,text,print,6 v. ill. 39 cm.,periodical,,Black Muslims|||Periodicals|||African American newspapers,,,,Muhammad speaks (OCoLC)1758821,World Muslim news 0744-0014 (OCoLC)7966890,0161-8644,sn 78004682,
6,533127,"Black panther, The",,,,,"Oakland, Calif., etc.]","Black Panther Party, Ministry of Information.",,1967,1980,,serial,Weekly,eng,text,print,v. ill. (part col.) 45 cm.,periodical,,,,,,,,0523-7238,74008013|||sn 78005677,
7,6091580,"black panther, The",,,,,"Oakland, Calif","Black Panther Party, Ministry of Information.",,2008,,,serial,,eng,text,electronic|||electronic resource|||remote,v. : ill. (some col.) ; 45 cm.,Newspapers,,African Americans|||Underground press publicationsBlack Panther Party,,,,,,,74008013|||sn 78005677,
8,550016,"Black panther, The",,,,,"Oakland, Calif",[Black Panther Party],1967-,1967,1980,,serial,Unknown,eng,text,microfilm|||microform,20 v. : ill. ; 45 cm.,Periodicals|||newspaper,,African Americans,,,,,,0523-7238,,
9,521532,East village other,,,,,New York,,,1uuu,9999,,serial,Unknown,eng,text,print,,newspaper,,,,,,,,0012-8562,,
10,8935727,"East Village other, The",,Other,,,"New York, N.Y",Joint College Patarealism,1965-1972,1965,1972,,serial,"Biweekly, July 21/28, 1971-1972|||Monthly, Oct. 1965-Jan. 1966|||Semimonthly, Feb. 1, 1966-Jan. 1, 1968|||Weekly, Jan. 5, 1968-July 14, 1971|||Biweekly",eng,text,electronic|||electronic resource|||remote|||unmediated|||volume,,Annotations (Provenance)-20th century|||Newspapers|||Periodicals-U.S.A.-1965-1972|||Protest literature|||Sources|||Underground newspapers-New York|||newspaper|||text,,Underground press publications|||Counter culture,,United States New York New York New York,,,,0012-8562,,
11,521915,Fifth estate,,,,,"Detroit, Mich",Fifth Estate Newspaper.,,19uu,9999,,serial,"Quarterly <, July 1981->|||Bimonthly <, Nov. 13, 1978->|||Quarterly",eng,text,print,,newspaper,,,,,,,,0015-0800,sn 78001268,
12,9248625,Fifth estate,,,,,"Detroit, Michigan :",Fifth Estate Newspaper,,1966,uuuu,,serial,"Quarterly, 1982-|||Irregular, Aug. 1975-1981|||Semimonthly, <May 1970>-July 1975|||Quarterly",eng,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||periodical|||text,,Socialism,,,,,,0015-0800,,
13,548826,Georgia straight: Vancouver's free press,,,,,Vancouver,Georgia Straight Publishing,1967-79,1967,1979,,serial,Weekly|||Unknown,eng,text,microfilm|||microform,v. : ill. ; 29-58 cm.,newspaper,,Underground press publications,,,,,Vancouver free press,0016-8432,,
14,9224935,Georgia straight,,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,,,
15,549088,San Francisco express times,,,,,"San Francisco, Calif",Trystero Company,1968-1969,1968,1969,,serial,Unknown,eng,text,microfilm|||microform,v. : ill.,newspaper,,Underground newspapers,,,,,Good times (OCoLC) 7445741,,,
16,548838,Good times,,,,,San Francisco,Trystero Company,1969-,1969,9999,,serial,"Weekly, Apr. 1969-|||Unknown",eng,text,microfilm|||microform,v. : ill.,newspaper,,Underground newspapers,,,,San Francisco express times (OCoLC)7559100,,,,
17,8827582,Good times,"Good times (San Francisco, Calif.)",San Francisco Good Times,,,"San Francisco, Calif. :","Trystero Co.,",1969-1972.,1969,1972,,serial,"Semiweekly, July 14, 1972-Aug. 2, 1972|||Semiweekly",eng,text,electronic|||electronic resource|||remote|||computer|||online resource,,Newspapers|||newspaper|||text,,"Underground press publications|||Counterculture|||Civil rights|||Political activists|||Vietnam War, 1961-1975|||Protest movements|||Peace movements|||Politics and government|||Counter cultureVietnam War (1961-1975)",1961-1975|||1969-1974,,,San Francisco express times 2470-3370 (DLC) 2016200990 (OCoLC)907959180,,0017-2197,,
18,525332,"Great speckled bird, The",,Bird,,,"Atlanta, Ga",Atlanta Progressive Media Foundation [etc.],,1968,1985,,serial,"Biweekly (Sept.-Apr.), monthly (May-Aug.), May? 1984-|||Monthly, 1976|||Weekly, Mar. 1968-1975",eng,text,print,9 v. ill. (part col.) 42 cm.,periodical,,,,,,,,0017-369X,75008347,
19,8827620,Great speckled bird,,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,,,
20,534632,Grok,,,,,"Pittsburgh, Pa",,,,,,serial,Completely irregular,eng,text,print,,,,Underground newspaper,,,,,,,,
21,531548,Joint issue,,,,,"East Lansing, Mich.?]",,,19uu,9999,,serial,Unknown,eng,text,print,v. ill. 43x30 cm. fold. to 30x22 cm.,periodical,,American Periodicals (General),,,,,,,,
22,8828096,Joint issue,,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,,,
23,528232,Liberated guardian,,,,,New York,Guardian Worker's Collective,1970-1973,1970,1973,,serial,Monthly,eng,text,print,3 v. : ill. ; 43 cm.,periodical,,,,,,,New York City star (OCoLC)3333922,,,
24,524579,Los Angeles free press,,,,,Los Angeles,Press West.,,1964,1978,,serial,Weekly,eng,text,print,v. ill. 45 cm.,,,,,,,,,0024-6573,79008348|||sn 78001603,
25,9026735,Los Angeles free press,"Los Angeles free press (Los Angeles, Calif. 1964)","Free press|||Faire free press May 23, 1964",,,Los Angeles :,"Los Angeles Free Press,",1964-1978.,1964,1978,,serial,Weekly,eng,text,electronic|||electronic resource|||remote|||computer|||online resource,,Newspapers|||newspaper|||text,,"Underground press publications|||Counterculture|||Political activists|||Civil rights|||Vietnam War, 1961-1975|||Protest movements|||Politics and governmentVietnam War (1961-1975)",1961-1975|||1969-1974,,,,,0024-6573,,
26,526343,Muhammad speaks,,,,,"Chicago, Ill",[s.n.],1961-1975,1961,1975,,serial,"Weekly, 1968-|||Bimonthly, Oct./Nov. 1961|||Monthly, Dec. 1961-June 1962|||Semimonthly (irregular) July 1962-1967|||Weekly",eng,text,print,15 v. : ill. ; 38 cm.,periodical,,Black Muslims|||Periodicals,,United States Illinois Cook Chicago,,,Bilalian news (OCoLC)2975269 (DLC)sn 78004682,0027-3031,sn 84037002,
27,539875,Muhammad speaks,,,,,"Chicago, Ill",Muhammad's Mosque No. 2],,1961,1975,,serial,"Weekly, 1968-1975|||Monthly, Oct./Nov. 1961-1962.|||Biweekly, 1963-1967|||Unknown",eng,text,microfilm|||microform|||microfilm reel,15 v. ill. 39 cm.,periodical,,Black Muslims|||Periodicals,,United States Illinois Chicago,,,Bilalian news (OCoLC)3764114,0027-3031,,
28,528232,Liberated guardian,,,,,New York,Guardian Worker's Collective,1970-1973,1970,1973,,serial,Monthly,eng,text,print,3 v. : ill. ; 43 cm.,periodical,,,,,,,New York City star (OCoLC)3333922,,,
29,9264246,New York city star,,City star,,,"New York, NY :","Hard Rain, Inc.,",1973-,1973,9999,,serial,Monthly,eng,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Newspapers|||Underground newspapers-New York (State)-New York|||periodical|||text,,Underground press publications,,United States New York New York New York,,Liberated guardian (DLC)sn 94053408 (OCoLC)1772605,,,,
30,8829045,Nola express,,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,,,
31,536557,Outlaw,,,,,"St. Louis, Mo",,,,,,serial,Completely irregular,eng,text,print,,,,Underground newspaper,,,,St. Louis outlaw.,,,,
32,536868,Pittsburgh fair witness,,,,,"Pittsburgh, Pa",The Commune.,,1970,9999,,serial,Unknown,eng,text,print,,periodical,,,,,,Grok,,,,
33,524248,"Pittsburgh point, The",,Point,,,"Pittsburgh, Pa",Point Pub. Co.,1966-1970,1966,1970,,serial,Weekly,eng,text,print,4 v. : ill. ; 43 cm.,newspaper,,,,United States Pennsylvania Allegheny Pittsburgh,,,,,sn 85054980,
34,581501,"Pittsburgh point, The",,,,,"Pittsburgh, Pa",Point Publishing,196-,196u,9999,,serial,Weekly|||Annual,eng,text,microfilm|||microform|||microfilm reel,v. : ill.,newspaper,,Underground newspapers,,United States Pennsylvania Pittsburgh,,,,,,
35,1509434,Pittsburgh point index,,,,,"Pittsburgh, Pa",Carnegie Library of Pittsburgh,1970,,,,serial,,,text,,,,,,,,,,,,,
36,522243,Rag,,,,,"Austin, Texas",,,,,,serial,Completely irregular,eng,text,print,,newspaper,,,,,,,,,,
37,8829525,"Rag, The (GI PRESS)",,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,,,
38,523885,Rainbow people,,,,,"Gresham, Oregon",Cherokee Examiner.,,,,,serial,Completely irregular,eng,text,print,,periodical,,,,,,,,,,
39,527054,Rat,,,,,New York,"R.A.T. Publications, Inc.",,19uu,19uu,,serial,Biweekly,eng,text,print,v. ill. 41 cm.,periodical,,,,,,,Women's libeRATion (OCoLC)1763455,,,
40,9263940,Rat,"Rat (New York, N.Y.)",,,,New York :,"R.A.T. Publications,",1970-1971.,1970,1971,,serial,Biweekly,eng,text,electronic resource|||remote|||computer|||online resource,1 online resource (24 volumes) : illustrations.,newspaper|||text,,Feminism,,United States New York New York New York,,,,,,
41,9247677,RAT: subterranean news,,Women's libeRATion|||RAT,,,"New York, New York :",R.A.T. Publications,,1969,uuuu,,serial,Monthly,eng,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Newspapers|||newspaper|||text,,Women's rights,,,,,,,,
42,549088,San Francisco express times,,,,,"San Francisco, Calif",Trystero Company,1968-1969,1968,1969,,serial,Unknown,eng,text,microfilm|||microform,v. : ill.,newspaper,,Underground newspapers,,,,,Good times (OCoLC) 7445741,,,
43,8829840,San Francisco express times,,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,,,
44,52727,"San Francisco oracle, facsimile edition: the psychedelic newspaper of the Haight-Ashbury, 1966-1968, The",,,,,"Berkeley, CA",Regent Press,1991,,,1st ed.,monographic,,eng,text,print,"lvi, 385 p. : ill. (some col.) ; 37 cm.",bibliography,,American newspapers|||Facsimiles|||Popular culture|||SourcesSan Francisco oracle,,,,,,,92114556 //r93,
45,542774,St. Louis outlaw,,,,,"St. Louis, Mo",,,1970,9999,,serial,Unknown,eng,text,microfilm,,periodical,,Underground periodicals,,United States Missouri St. Louis,,,Outlaw,,,
46,523808,Viet report,,Viet-report,,,New York,"Viet-Report, Inc.",1965-1968],1965,1968,,serial,9 no. a year|||Monthly,eng,text,print,3 v. : ill. ; 29 cm.,periodical,,American newspapers|||Periodicals,,United States New York New York City,,,Leviathan (OCoLC)8118332,0506-9424,,
47,542187,Viet report,,,,,"New York, N.Y","Viet-Report, Inc.",196 -,1965,1968,,serial,9 no.a year|||Unknown,eng,text,microfilm|||microform,,newspaper,,Underground newspapers,,United States New York New York,,,Leviathan,0506-9424,,
