,term,count
0,allen,49
1,of,41
2,brother,29
3,winthrop,29
4,the,27
5,and,21
6,elizabeth,11
7,in,11
8,sister,11
9,life,10
10,on,10
11,daily,10
12,for,9
13,pittsburgh,9
14,from,9
15,steamboat,9
16,accounting,8
17,hampshire,7
18,scrapbook,7
19,diary,7
20,poems,7
21,newspaper,7
22,clippings,7
23,new,7
24,pennsylvania,5
25,journal,5
26,regiment,5
27,th,5
28,hervey,4
29,containing,4
30,by,4
31,handwritten,4
32,books,4
33,william,4
34,copy,3
35,letter,3
36,book,3
37,work,3
38,trail,3
39,volunteers,3
40,personal,3
41,notebook,3
42,oregon,3
43,a,3
44,edward,3
45,richfield,2
46,reviews,2
47,walla,2
48,flame,2
49,original,2
50,edgehill,2
51,accounts,2
52,album,2
53,to,2
54,summaries,2
55,concerning,2
56,memorial,2
57,recorded,2
58,quotations,2
59,papers,2
60,h,2
61,description,2
62,civil,2
63,military,2
64,war,2
65,framed,2
66,toward,2
67,family,2
68,portrait,2
69,letters,2
70,carbon,2
71,part,2
72,at,2
73,norma,2
74,poetry,2
75,springs,2
76,written,2
77,fort,2
78,george,2
79,travels,2
80,uniform,1
81,regalia,1
82,kossuth,1
83,membership,1
84,regarding,1
85,card,1
86,hungarian,1
87,happenings,1
88,current,1
89,loyal,1
90,legion,1
91,bynotebook,1
92,perused,1
93,order,1
94,events,1
95,president,1
96,review,1
97,local,1
98,illustrations,1
99,states,1
100,united,1
101,steamer,1
102,entries,1
103,prose,1
104,slavery,1
105,miscellaneous,1
106,items,1
107,upon,1
108,return,1
109,washington,1
110,territory,1
111,day,1
112,address,1
113,given,1
114,homewood,1
115,cemetary,1
116,genealogy,1
117,with,1
118,john,1
119,w,1
120,photos,1
121,including,1
122,home,1
123,copies,1
124,notices,1
125,guestbook,1
126,chinook,1
127,jargoncarbon,1
128,photocopy,1
129,i,1
130,photographs,1
131,uncle,1
132,recommendation,1
133,rank,1
134,colonel,1
135,fall,1
136,comrades,1
137,great,1
138,land,1
139,general,1
140,bookkeeping,1
141,walls,1
142,theodore,1
143,roosevelt,1
144,paternal,1
145,jay,1
146,active,1
147,duty,1
148,inspiration,1
149,matter,1
150,petition,1
151,awarding,1
152,medal,1
153,honor,1
154,manor,1
155,bonfield,1
156,program,1
157,grandfather,1
158,dispatch,1
159,monument,1
160,sand,1
161,typed,1
162,draft,1
163,story,1
164,curtis,1
165,brown,1
166,ltd,1
167,chapters,1
168,fairy,1
169,true,1
170,other,1
171,authors,1
172,articles,1
173,about,1
174,numerous,1
175,published,1
176,dedication,1
177,may,1
178,account,1
179,also,1
180,certificate,1
181,permission,1
182,entry,1
183,into,1
184,virginia,1
185,holograph,1
186,notes,1
187,approach,1
188,outline,1
189,headings,1
190,death,1
191,fift,1
192,mathematical,1
193,reference,1
194,collected,1
195,veteran,1
196,held,1
197,march,1
198,reunions,1
199,construction,1
200,road,1
201,steilacoom,1
202,himes,1
203,powers,1
204,hiram,1
205,clerk,1
206,as,1
207,later,1
208,years,1
209,christmas,1
210,present,1
211,small,1
212,ten,1
213,badges,1
214,alexander,1
